type,mode,amount,currentBalance,transactionTimestamp,valueDate,txnId,narration,reference
CREDIT,OTHERS,800,1823.21,2024-05-05T05:32:08+05:30,05-05-2024,dcca75fb-d339-4ffe-b22d-954bcbbca240,NEFT,8646845
DEBIT,UPI,110,1713.21,2024-05-05T10:17:18+05:30,05-05-2024,0637105c-449b-444e-af57-b2e4931fbdea,UPI/4492,
DEBIT,UPI,80,1633.21,2024-05-05T16:31:42+05:30,05-05-2024,330e7027-ae47-4c04-82c1-91d807149cd2,UPI/4492,
DEBIT,UPI,130,1503.21,2024-05-05T16:44:21+05:30,05-05-2024,b9b6bad7-6254-46fb-aa99-37f5babcc33d,UPI/GPAY,
DEBIT,UPI,110,1393.21,2024-05-05T21:15:14+05:30,05-05-2024,b36a0b25-74d6-4f3a-a22d-92e4705e2912,UPI/41267,
CREDIT,OTHERS,250,1643.21,2024-05-06T05:24:30+05:30,06-05-2024,bccb9467-1f3e-4a20-a6ba-d2b18c216feb,NEFT,8646845
DEBIT,UPI,20,1623.21,2024-05-06T12:38:42+05:30,06-05-2024,811b5dfe-d24b-420a-9701-e0fbd6460b74,UPI/PAYTMvp,
DEBIT,UPI,130,1493.21,2024-05-06T13:04:36+05:30,06-05-2024,e42b0839-6287-4080-9234-0de28682ee0e,UPI/4493,
DEBIT,UPI,130,1363.21,2024-05-06T17:04:20+05:30,06-05-2024,73e3e6b0-5bda-4368-9bc6-f1d8a5628bb4,UPI/GPAY,
DEBIT,UPI,20,1343.21,2024-05-06T21:00:37+05:30,06-05-2024,8a0f0f1d-02f2-471e-81bb-b5dea44309f4,UPI/4493,
DEBIT,UPI,20,1323.21,2024-05-06T21:23:58+05:30,06-05-2024,603bb328-4050-415f-b8d6-22d8ddd45959,UPI/PAYTM,
CREDIT,OTHERS,1700,3023.21,2024-05-07T05:13:22+05:30,07-05-2024,a0cb180f-0d4b-4fd2-8c68-a00c5d043815,NEFT,8646845
DEBIT,UPI,10,3013.21,2024-05-07T10:28:25+05:30,07-05-2024,d35629ad-db75-483f-8ebc-fa9833468f9c,UPI/4494,
CREDIT,UPI,150,3163.21,2024-05-07T13:48:11+05:30,07-05-2024,96a8396d-5075-43e0-9676-ec189c238104,UPI/4494,
DEBIT,UPI,310,2853.21,2024-05-07T13:52:04+05:30,07-05-2024,edc422af-eef4-4c75-9f54-e7ed8c24796c,UPI/PAYTM,
DEBIT,UPI,30,2823.21,2024-05-07T13:55:41+05:30,07-05-2024,e32eb683-aefb-4611-8431-03f8460adb84,UPI/4494,
DEBIT,UPI,1500,1323.21,2024-05-07T16:53:22+05:30,07-05-2024,2f538e5f-64cf-4990-bf87-c644770ff18d,UPI/4494,
DEBIT,UPI,600,723.21,2024-05-07T19:22:11+05:30,07-05-2024,c1a6ae0d-a73f-4219-9e99-7b0b3d8cf600,UPI/41284,
DEBIT,UPI,130,593.21,2024-05-07T20:52:20+05:30,07-05-2024,dc9033f5-ae18-41f9-92fc-02141a9d23d6,UPI/GPAY,
DEBIT,UPI,130,463.21,2024-05-07T20:52:58+05:30,07-05-2024,d63df3de-1e30-4bbb-885a-d586fffcf5de,UPI/GPAY,
DEBIT,UPI,19,444.21,2024-05-07T22:14:52+05:30,07-05-2024,f7c914d8-dfc6-4467-ac97-768ce788631a,UPI/GPAYRECHARGE,
CREDIT,OTHERS,860,1304.21,2024-05-08T05:05:05+05:30,08-05-2024,fb0898df-03aa-4f3f-a35a-d962da0d4df0,NEFT,8646845
DEBIT,UPI,10,1294.21,2024-05-08T10:50:10+05:30,08-05-2024,f33ed4cf-7758-48e5-bce8-1d47947f7bb5,UPI/41296,
DEBIT,UPI,80,1214.21,2024-05-08T18:10:59+05:30,08-05-2024,d018937b-c15b-4d7d-9f18-15a44e989b69,UPI/PAYTMap,
DEBIT,UPI,50,1164.21,2024-05-08T18:41:54+05:30,08-05-2024,fdc988b6-c087-4b75-9459-a5433148e943,UPI/PAYTMap,
DEBIT,UPI,250,914.21,2024-05-08T20:58:06+05:30,08-05-2024,ab2722fa-4db7-4bd6-ac92-67da806770c3,UPI/GPAY,
CREDIT,UPI,200,1114.21,2024-05-08T21:52:26+05:30,08-05-2024,7cbb62cb-58c9-4d7a-9e70-4c73656b4357,UPI/4495,
DEBIT,UPI,100,1014.21,2024-05-09T09:52:32+05:30,09-05-2024,7f51347c-e02c-4f1e-abb4-4213890448ae,UPI/4496,
DEBIT,UPI,30,984.21,2024-05-09T10:08:52+05:30,09-05-2024,dbbfc153-bd45-4094-8eeb-538d435adf9e,UPI/4496,
DEBIT,UPI,20,964.21,2024-05-09T11:20:18+05:30,09-05-2024,b89c59e1-2116-4cfc-a8ec-7440c36a6853,UPI/PAYTMlp,
DEBIT,UPI,25,939.21,2024-05-09T15:30:59+05:30,09-05-2024,46c380b7-c110-4b54-98f7-6acd26467908,UPI/BHARATPE,
DEBIT,UPI,20,919.21,2024-05-09T15:38:07+05:30,09-05-2024,97769eb5-f3e4-4f68-af86-233a0616915d,UPI/4496,
DEBIT,UPI,900,19.21,2024-05-09T15:52:11+05:30,09-05-2024,f8df0c27-3ef1-450d-a5b5-b9ce9de6fddb,UPI/44964,
CREDIT,OTHERS,50,69.21,2024-05-09T19:38:29+05:30,09-05-2024,8548326a-8594-46b2-97de-1adcaab9a74a,IMPS,
